Machine Module SVA1032X
Trace Name,Trace A
Meas Type,S11
Start Frequency,+7.000000000E+07
Stop Frequency,+1.300000000E+08
7.817635e+07,7.429017e-03, -2.681583e-02
7.829659e+07,1.417933e-02, -3.042002e-02
7.841683e+07,8.103548e-03, -2.950744e-02
7.853707e+07,6.591014e-03, -2.942742e-02
7.865731e+07,1.055581e-02, -3.049127e-02
7.877756e+07,1.295148e-02, -2.694936e-02
7.889780e+07,7.232061e-03, -2.957050e-02
7.901804e+07,9.528807e-03, -2.888284e-02
7.913828e+07,9.697622e-03, -2.785846e-02
7.925852e+07,6.529020e-03, -3.036588e-02
7.937876e+07,1.076502e-02, -3.149321e-02
7.949900e+07,3.925992e-03, -3.447689e-02
7.961924e+07,5.175856e-03, -3.221351e-02
7.973948e+07,1.067702e-02, -3.425224e-02
7.985972e+07,1.021487e-02, -3.153087e-02
7.997996e+07,9.692409e-03, -3.463940e-02
8.010020e+07,7.509452e-03, -3.455991e-02
8.022044e+07,6.503680e-03, -3.189588e-02
8.034068e+07,1.110581e-02, -3.311432e-02
8.046092e+07,5.202234e-03, -3.342100e-02
8.058116e+07,8.301285e-03, -3.292175e-02
8.070140e+07,9.163061e-03, -3.483084e-02
8.082164e+07,1.159211e-02, -3.277641e-02
8.094188e+07,8.203306e-03, -3.222454e-02
8.106212e+07,8.238023e-03, -2.837716e-02
8.118236e+07,6.078072e-03, -2.966899e-02
8.130261e+07,6.808082e-03, -3.010296e-02
8.142285e+07,8.595780e-03, -2.950038e-02
8.154309e+07,4.469401e-03, -2.826635e-02
8.166333e+07,1.280284e-02, -2.827332e-02
8.178357e+07,1.261649e-02, -2.855299e-02
8.190381e+07,9.357549e-03, -2.838620e-02
8.202405e+07,9.438433e-03, -2.987894e-02
8.214429e+07,9.089327e-03, -2.849825e-02
8.226453e+07,8.063701e-03, -2.661958e-02
8.238477e+07,7.374707e-03, -3.185662e-02
8.250501e+07,6.665155e-03, -3.320738e-02
8.262525e+07,6.404913e-03, -3.214310e-02
8.274549e+07,6.048821e-03, -3.545521e-02
8.286573e+07,8.037857e-03, -3.148060e-02
8.298597e+07,1.025041e-02, -2.715817e-02
8.310621e+07,5.048670e-03, -3.164664e-02
8.322645e+07,1.022361e-02, -3.219092e-02
8.334669e+07,8.175980e-03, -3.301706e-02
8.346693e+07,1.133387e-02, -3.286425e-02
8.358717e+07,7.830609e-03, -2.988848e-02
8.370741e+07,3.717770e-03, -3.416130e-02
8.382766e+07,6.173735e-03, -3.439989e-02
8.394790e+07,3.734476e-03, -3.229577e-02
8.406814e+07,4.358164e-03, -3.166903e-02
8.418838e+07,6.546579e-04, -3.019495e-02
8.430862e+07,2.154756e-03, -3.180075e-02
8.442886e+07,6.727773e-03, -3.313623e-02
8.454910e+07,8.617415e-03, -3.271413e-02
8.466934e+07,7.303337e-03, -2.871482e-02
8.478958e+07,1.008445e-02, -3.105232e-02
8.490982e+07,1.137767e-02, -2.990061e-02
8.503006e+07,8.023899e-03, -3.400142e-02
8.515030e+07,7.959278e-03, -3.093093e-02
8.527054e+07,7.200091e-03, -3.455213e-02
8.539078e+07,4.238787e-03, -3.239517e-02
8.551102e+07,7.621757e-03, -3.317280e-02
8.563126e+07,1.049790e-02, -3.198196e-02
8.575150e+07,4.231172e-03, -3.238851e-02
8.587174e+07,9.153739e-03, -3.052895e-02
8.599198e+07,4.117827e-03, -2.941861e-02
8.611222e+07,6.600563e-03, -3.137854e-02
8.623246e+07,8.123895e-03, -3.271841e-02
8.635271e+07,8.942105e-03, -3.267028e-02
8.647295e+07,8.501577e-03, -3.324429e-02
8.659319e+07,1.246127e-02, -2.978749e-02
8.671343e+07,5.846009e-03, -3.050694e-02
8.683367e+07,3.778143e-03, -3.012212e-02
8.695391e+07,7.384962e-03, -3.243969e-02
8.707415e+07,6.360925e-03, -3.075873e-02
8.719439e+07,9.653540e-03, -2.963122e-02
8.731463e+07,8.052868e-03, -2.487944e-02
8.743487e+07,9.158242e-03, -2.969174e-02
8.755511e+07,7.939470e-03, -3.314607e-02
8.767535e+07,6.186128e-03, -3.189407e-02
8.779559e+07,2.601288e-03, -3.368637e-02
8.791583e+07,3.673385e-03, -3.617814e-02
8.803607e+07,5.460725e-03, -3.031964e-02
8.815631e+07,8.065654e-03, -3.071746e-02
8.827655e+07,5.106620e-03, -3.497408e-02
8.839679e+07,6.583726e-03, -3.261684e-02
8.851703e+07,1.271837e-02, -3.481912e-02
8.863727e+07,1.059881e-02, -3.450325e-02
8.875752e+07,1.044364e-02, -3.714114e-02
8.887776e+07,5.761949e-03, -3.679215e-02
8.899800e+07,6.191261e-03, -3.697904e-02
8.911824e+07,4.864179e-03, -3.927229e-02
8.923848e+07,5.450664e-03, -3.568263e-02
8.935872e+07,4.044918e-03, -3.490817e-02
8.947896e+07,7.106619e-03, -3.396039e-02
8.959920e+07,5.871509e-03, -3.136973e-02
8.971944e+07,6.391188e-03, -3.143609e-02
8.983968e+07,5.835341e-03, -3.230766e-02
8.995992e+07,5.713719e-03, -3.255103e-02
9.008016e+07,4.081612e-03, -3.580077e-02
9.020040e+07,6.873877e-03, -3.835126e-02
9.032064e+07,2.538532e-03, -3.530147e-02
9.044088e+07,1.684650e-03, -3.459755e-02
9.056112e+07,3.468035e-03, -3.115439e-02
9.068136e+07,3.502759e-03, -3.213269e-02
9.080160e+07,1.444314e-03, -3.656643e-02
9.092184e+07,7.903577e-03, -3.494243e-02
9.104208e+07,9.746779e-03, -3.605720e-02
9.116232e+07,9.080224e-03, -3.733211e-02
9.128257e+07,1.235417e-02, -3.217946e-02
9.140281e+07,8.718651e-03, -3.646429e-02
9.152305e+07,8.320108e-03, -3.502567e-02
9.164329e+07,1.174993e-02, -3.494174e-02
9.176353e+07,5.235987e-03, -3.222524e-02
9.188377e+07,2.752425e-05, -3.048329e-02
9.200401e+07,4.705130e-03, -3.554110e-02
9.212425e+07,1.285593e-02, -3.385335e-02
9.224449e+07,9.875268e-03, -3.608293e-02
9.236473e+07,8.698864e-03, -3.338067e-02
9.248497e+07,6.737631e-03, -3.793163e-02
9.260521e+07,5.107298e-03, -3.646857e-02
9.272545e+07,7.115667e-03, -2.982824e-02
9.284569e+07,8.308873e-03, -3.448818e-02
9.296593e+07,1.615719e-03, -3.492176e-02
9.308617e+07,5.561430e-03, -3.202520e-02
9.320641e+07,2.315937e-03, -3.418625e-02
9.332665e+07,7.809018e-03, -3.413994e-02
9.344689e+07,7.940208e-03, -3.802379e-02
9.356713e+07,7.528922e-03, -3.506215e-02
9.368737e+07,6.610950e-03, -3.050203e-02
9.380762e+07,4.823596e-03, -3.012226e-02
9.392786e+07,3.518996e-03, -3.508425e-02
9.404810e+07,6.787814e-03, -3.517724e-02
9.416834e+07,2.737371e-03, -3.402516e-02
9.428858e+07,5.469061e-04, -2.947659e-02
9.440882e+07,3.598948e-03, -3.543504e-02
9.452906e+07,3.998123e-03, -3.524542e-02
9.464930e+07,5.254064e-03, -4.102776e-02
9.476954e+07,4.527292e-03, -3.705120e-02
9.488978e+07,5.855489e-03, -3.796871e-02
9.501002e+07,6.425401e-03, -2.977693e-02
9.513026e+07,4.038989e-03, -3.312116e-02
9.525050e+07,3.820253e-03, -2.808714e-02
9.537074e+07,4.991358e-03, -3.255250e-02
9.549098e+07,4.402011e-03, -3.756130e-02
9.561122e+07,9.529680e-03, -3.109788e-02
9.573146e+07,9.279911e-03, -3.522095e-02
9.585170e+07,6.336309e-03, -3.556926e-02
9.597194e+07,7.999261e-03, -3.438889e-02
9.609218e+07,4.284823e-03, -3.411003e-02
9.621242e+07,8.466007e-03, -3.356943e-02
9.633267e+07,6.132095e-03, -3.174825e-02
9.645291e+07,1.117371e-02, -3.340496e-02
9.657315e+07,7.567436e-03, -3.849651e-02
9.669339e+07,7.250762e-03, -3.727802e-02
9.681363e+07,9.762289e-03, -3.779492e-02
9.693387e+07,6.528258e-03, -3.206721e-02
9.705411e+07,6.579427e-03, -3.364162e-02
9.717435e+07,4.581812e-03, -3.563971e-02
9.729459e+07,4.621454e-03, -3.544428e-02
9.741483e+07,7.501488e-03, -3.363875e-02
9.753507e+07,6.042549e-03, -3.160719e-02
9.765531e+07,1.064360e-02, -3.341602e-02
9.777555e+07,7.106136e-03, -3.584831e-02
9.789579e+07,3.351687e-03, -3.909933e-02
9.801603e+07,-1.147755e-04, -3.870048e-02
9.813627e+07,4.812128e-03, -3.249663e-02
9.825651e+07,3.520561e-03, -3.507393e-02
9.837675e+07,6.478034e-03, -3.269535e-02
9.849699e+07,3.221543e-03, -3.073031e-02
9.861723e+07,5.189031e-03, -3.261556e-02
9.873747e+07,6.881772e-03, -3.730315e-02
9.885772e+07,5.484520e-03, -3.504490e-02
9.897796e+07,8.158395e-03, -3.527692e-02
9.909820e+07,1.024294e-02, -3.421612e-02
9.921844e+07,5.594089e-03, -3.510594e-02
9.933868e+07,6.319157e-03, -3.270973e-02
9.945892e+07,4.899959e-03, -3.368682e-02
9.957916e+07,1.730589e-03, -3.590108e-02
9.969940e+07,5.275537e-03, -3.660782e-02
9.981964e+07,-2.560846e-03, -3.644889e-02
9.993988e+07,-4.204439e-04, -3.447545e-02
1.000601e+08,1.922696e-03, -3.713508e-02
1.001804e+08,5.222036e-03, -3.605501e-02
1.003006e+08,3.197519e-03, -3.592837e-02
1.004208e+08,2.124951e-03, -3.269773e-02
1.005411e+08,8.052412e-03, -2.814625e-02
1.006613e+08,8.012891e-03, -3.330935e-02
1.007816e+08,4.675528e-03, -3.236617e-02
1.009018e+08,6.861195e-03, -3.551099e-02
1.010220e+08,6.521383e-03, -3.372291e-02
1.011423e+08,5.601711e-03, -3.624820e-02
1.012625e+08,5.756767e-03, -3.578344e-02
1.013828e+08,9.040432e-03, -3.126684e-02
1.015030e+08,5.482476e-03, -3.521373e-02
1.016232e+08,1.121382e-03, -3.525445e-02
1.017435e+08,5.878618e-03, -3.221766e-02
1.018637e+08,5.632876e-03, -3.589240e-02
1.019840e+08,7.341237e-03, -3.272012e-02
1.021042e+08,4.828395e-03, -3.170025e-02
1.022244e+08,-2.477643e-04, -3.280720e-02
1.023447e+08,5.759691e-03, -3.201535e-02
1.024649e+08,6.400255e-03, -3.271935e-02
1.025852e+08,7.169089e-03, -3.358968e-02
1.027054e+08,4.960749e-03, -3.836529e-02
1.028257e+08,2.432911e-03, -3.743080e-02
1.029459e+08,1.643986e-03, -3.761936e-02
1.030661e+08,2.109683e-03, -3.317060e-02
1.031864e+08,4.280188e-03, -3.656067e-02
1.033066e+08,8.200630e-05, -3.912257e-02
1.034269e+08,5.664178e-03, -3.547945e-02
1.035471e+08,5.686849e-04, -3.699259e-02
1.036673e+08,5.954024e-03, -3.491550e-02
1.037876e+08,1.411489e-03, -3.420315e-02
1.039078e+08,1.091077e-03, -3.417213e-02
1.040281e+08,2.957922e-03, -3.348397e-02
1.041483e+08,1.692663e-04, -3.528147e-02
1.042685e+08,3.052219e-03, -3.423876e-02
1.043888e+08,6.215315e-03, -3.419870e-02
1.045090e+08,7.099857e-03, -3.179316e-02
1.046293e+08,8.629593e-03, -3.330425e-02
1.047495e+08,7.281314e-03, -3.507392e-02
1.048697e+08,5.548876e-03, -3.406548e-02
1.049900e+08,4.925340e-03, -3.529408e-02
1.051102e+08,2.136547e-03, -4.030897e-02
1.052305e+08,2.958731e-03, -3.653869e-02
1.053507e+08,-1.823728e-03, -3.544772e-02
1.054709e+08,1.221935e-03, -3.279060e-02
1.055912e+08,4.074466e-03, -3.387054e-02
1.057114e+08,2.999901e-04, -3.186513e-02
1.058317e+08,4.352005e-03, -3.162859e-02
1.059519e+08,-2.419246e-04, -3.433888e-02
1.060721e+08,8.261823e-04, -4.005057e-02
1.061924e+08,7.971372e-04, -3.964676e-02
1.063126e+08,1.180657e-03, -3.999067e-02
1.064329e+08,1.781802e-03, -3.817625e-02
1.065531e+08,2.313142e-03, -3.842535e-02
1.066733e+08,-2.987489e-03, -3.794336e-02
1.067936e+08,-3.619475e-03, -3.812362e-02
1.069138e+08,5.761872e-04, -3.827944e-02
1.070341e+08,2.031771e-03, -3.528981e-02
1.071543e+08,-4.084240e-04, -3.188495e-02
1.072745e+08,-3.113895e-04, -3.204009e-02
1.073948e+08,9.778308e-04, -3.041016e-02
1.075150e+08,-1.529692e-04, -3.470851e-02
1.076353e+08,-9.019680e-04, -3.117920e-02
1.077555e+08,-3.210691e-03, -3.103757e-02
1.078758e+08,-1.282217e-03, -3.588277e-02
1.079960e+08,5.202957e-03, -2.976246e-02
1.081162e+08,2.611935e-03, -3.410293e-02
1.082365e+08,4.027690e-03, -3.611677e-02
1.083567e+08,4.376561e-03, -3.009239e-02
1.084770e+08,5.350924e-03, -3.156840e-02
1.085972e+08,1.472899e-03, -3.570460e-02
1.087174e+08,-3.811971e-03, -4.022058e-02
1.088377e+08,-1.898909e-03, -3.374041e-02
1.089579e+08,-1.437052e-04, -3.587423e-02
1.090782e+08,4.699481e-03, -3.339210e-02
1.091984e+08,1.448279e-03, -3.343106e-02
1.093186e+08,2.862564e-04, -3.319124e-02
1.094389e+08,-2.383284e-04, -2.830888e-02
1.095591e+08,3.626190e-03, -3.018305e-02
1.096794e+08,5.378769e-03, -3.516825e-02
1.097996e+08,1.812318e-03, -3.550840e-02
1.099198e+08,3.866195e-03, -3.871945e-02
1.100401e+08,4.821180e-03, -3.705560e-02
1.101603e+08,-9.373021e-04, -3.847560e-02
1.102806e+08,-6.230512e-04, -3.495041e-02
1.104008e+08,5.764869e-03, -3.499488e-02
1.105210e+08,3.001405e-03, -3.006384e-02
1.106413e+08,1.585807e-03, -3.121739e-02
1.107615e+08,-4.254956e-03, -3.339040e-02
1.108818e+08,-3.578098e-03, -3.605970e-02
1.110020e+08,3.013920e-04, -3.200799e-02
1.111222e+08,4.015802e-04, -2.834781e-02
1.112425e+08,2.902218e-03, -3.287172e-02
1.113627e+08,4.104425e-03, -3.124604e-02
1.114830e+08,-3.614083e-04, -3.432105e-02
1.116032e+08,2.384660e-03, -3.623190e-02
1.117234e+08,-4.717572e-04, -2.817116e-02
1.118437e+08,3.165281e-03, -3.440780e-02
1.119639e+08,-5.784398e-05, -4.097985e-02
1.120842e+08,-1.779982e-03, -3.540390e-02
1.122044e+08,1.145964e-03, -3.563300e-02
1.123246e+08,3.238707e-03, -3.345988e-02
1.124449e+08,-3.833336e-04, -3.577613e-02
1.125651e+08,-2.904627e-03, -2.892399e-02
1.126854e+08,-4.622900e-03, -3.350133e-02
1.128056e+08,-4.536798e-05, -3.351785e-02
1.129259e+08,-8.517760e-04, -3.498646e-02
1.130461e+08,8.663383e-04, -3.309473e-02
1.131663e+08,2.002097e-03, -3.482370e-02
1.132866e+08,-8.743619e-04, -3.246463e-02
1.134068e+08,3.788302e-04, -3.498313e-02
1.135271e+08,-1.220815e-03, -3.364153e-02
1.136473e+08,1.542386e-03, -3.240091e-02
1.137675e+08,-2.199850e-04, -3.151279e-02
1.138878e+08,3.187332e-04, -3.192994e-02
1.140080e+08,1.461850e-03, -3.283457e-02
1.141283e+08,2.777012e-03, -2.917563e-02
1.142485e+08,9.672835e-04, -3.228132e-02
1.143687e+08,-5.729196e-04, -3.199339e-02
1.144890e+08,6.754146e-04, -3.279444e-02
1.146092e+08,4.273884e-03, -3.136560e-02
1.147295e+08,5.052436e-03, -2.976730e-02
1.148497e+08,1.352225e-03, -3.308522e-02
1.149699e+08,1.442886e-04, -3.295814e-02
1.150902e+08,9.458919e-04, -3.660289e-02
1.152104e+08,1.010201e-03, -3.196964e-02
1.153307e+08,2.389783e-03, -2.854455e-02
1.154509e+08,2.191751e-03, -3.155708e-02
1.155711e+08,1.264088e-03, -3.511547e-02
1.156914e+08,2.752359e-03, -3.507742e-02
1.158116e+08,5.368522e-03, -3.273081e-02
1.159319e+08,3.711211e-03, -3.836830e-02
1.160521e+08,5.762285e-03, -3.499218e-02
1.161723e+08,9.879724e-04, -3.619570e-02
1.162926e+08,4.357290e-03, -3.546518e-02
1.164128e+08,2.348475e-03, -3.320065e-02
1.165331e+08,5.300131e-03, -3.452960e-02
1.166533e+08,4.030121e-03, -2.992297e-02
1.167735e+08,1.337485e-03, -3.167852e-02
1.168938e+08,1.951840e-03, -3.198968e-02
1.170140e+08,-3.833681e-03, -3.206033e-02
1.171343e+08,-2.742490e-03, -3.315691e-02
1.172545e+08,-2.903340e-04, -3.088730e-02
1.173747e+08,-3.712658e-03, -3.298689e-02
1.174950e+08,2.626347e-03, -3.353436e-02
1.176152e+08,2.830194e-04, -3.050514e-02
1.177355e+08,1.641018e-03, -3.171923e-02
1.178557e+08,4.865261e-04, -3.496176e-02
1.179760e+08,-2.092639e-03, -3.642803e-02
1.180962e+08,5.067231e-04, -3.600971e-02
1.182164e+08,1.928368e-04, -3.414872e-02
1.183367e+08,4.661469e-04, -3.348274e-02
1.184569e+08,6.881913e-04, -3.691215e-02
1.185772e+08,-1.061202e-03, -3.601543e-02
1.186974e+08,2.491007e-03, -3.505159e-02
1.188176e+08,1.406012e-03, -2.731320e-02
1.189379e+08,-2.765369e-03, -2.966004e-02
1.190581e+08,1.965958e-03, -3.036616e-02
1.191784e+08,2.279353e-03, -3.141350e-02
1.192986e+08,-5.054839e-04, -3.477511e-02
1.194188e+08,-1.264343e-03, -3.031812e-02
1.195391e+08,-1.635287e-03, -3.301851e-02
1.196593e+08,-5.016469e-03, -3.571009e-02
1.197796e+08,2.092457e-03, -3.541692e-02
1.198998e+08,5.243553e-04, -3.120570e-02
1.200200e+08,-8.714388e-04, -3.270048e-02
1.201403e+08,2.869709e-04, -3.124972e-02
1.202605e+08,1.306771e-03, -3.099849e-02
1.203808e+08,-1.503790e-03, -3.334691e-02
1.205010e+08,-2.608905e-03, -3.361683e-02
1.206212e+08,1.340108e-03, -3.169296e-02
1.207415e+08,-2.026651e-03, -2.923514e-02
1.208617e+08,2.038158e-04, -3.203220e-02
1.209820e+08,1.789722e-03, -2.838589e-02
1.211022e+08,1.536863e-03, -2.755411e-02
1.212224e+08,-3.810550e-03, -3.139969e-02
1.213427e+08,-3.008099e-04, -3.260394e-02
1.214629e+08,-2.429708e-03, -3.278606e-02
1.215832e+08,-1.363450e-03, -3.189141e-02
1.217034e+08,4.869903e-04, -2.986882e-02
1.218236e+08,-2.655352e-03, -2.728113e-02
1.219439e+08,6.827079e-04, -2.723762e-02
1.220641e+08,-3.585277e-03, -2.854049e-02
1.221844e+08,-1.874866e-03, -2.870884e-02
1.223046e+08,-5.068025e-04, -2.855892e-02
1.224248e+08,-5.931216e-04, -3.191305e-02
1.225451e+08,-1.469115e-03, -3.386644e-02
1.226653e+08,-1.409057e-03, -2.967543e-02
1.227856e+08,-1.849484e-03, -2.998017e-02
1.229058e+08,2.052248e-04, -3.295695e-02
1.230261e+08,-1.242158e-03, -2.986111e-02
1.231463e+08,6.716137e-04, -3.395211e-02
1.232665e+08,-1.110937e-04, -3.540176e-02
1.233868e+08,1.723202e-03, -3.079432e-02
1.235070e+08,2.818052e-03, -3.578806e-02
1.236273e+08,-2.053928e-03, -3.186191e-02
1.237475e+08,-1.727742e-04, -3.091396e-02
1.238677e+08,-2.633037e-03, -2.977444e-02
1.239880e+08,-3.539095e-03, -3.378102e-02
1.241082e+08,-6.156933e-03, -2.719365e-02
1.242285e+08,5.251655e-03, -3.295699e-02
1.243487e+08,-1.794745e-03, -3.334510e-02
1.244689e+08,-8.098654e-05, -2.660067e-02
1.245892e+08,1.031935e-03, -2.699292e-02
1.247094e+08,-6.230611e-04, -2.379404e-02
1.248297e+08,-2.953920e-03, -2.999899e-02
1.249499e+08,-2.856519e-03, -2.808710e-02
1.250701e+08,-3.341942e-03, -2.569496e-02
1.251904e+08,2.577348e-03, -3.270404e-02
1.253106e+08,2.368568e-03, -3.169874e-02
1.254309e+08,-3.669664e-03, -3.442674e-02
1.255511e+08,-4.250697e-04, -3.606581e-02
1.256713e+08,3.535401e-04, -3.567291e-02
1.257916e+08,-2.189436e-03, -3.413551e-02
1.259118e+08,-2.090643e-03, -3.051542e-02
1.260321e+08,-1.655447e-03, -2.793497e-02
1.261523e+08,1.392713e-03, -3.083678e-02
1.262725e+08,-2.628852e-03, -3.174747e-02
1.263928e+08,3.203761e-03, -2.987454e-02
1.265130e+08,-6.772601e-04, -2.987802e-02
1.266333e+08,9.006462e-04, -2.889794e-02
1.267535e+08,2.398187e-03, -2.525686e-02
1.268737e+08,1.605238e-03, -2.811680e-02
1.269940e+08,-1.800910e-03, -2.888474e-02
1.271142e+08,-2.603130e-04, -2.553113e-02
1.272345e+08,-1.939679e-03, -2.876952e-02
1.273547e+08,-4.771497e-03, -2.497280e-02
1.274749e+08,-3.122173e-03, -3.061782e-02
1.275952e+08,-4.197918e-03, -3.214655e-02
1.277154e+08,-2.646387e-03, -3.191903e-02
1.278357e+08,-1.059172e-03, -2.966765e-02
1.279559e+08,7.247950e-06, -3.104564e-02
1.280762e+08,-3.431867e-03, -3.105711e-02
1.281964e+08,-1.705221e-04, -2.545160e-02
1.283166e+08,-3.836347e-03, -2.949160e-02
1.284369e+08,-1.673781e-03, -2.915960e-02
1.285571e+08,-6.322909e-03, -2.849015e-02
1.286774e+08,-2.425597e-03, -2.939285e-02
1.287976e+08,-1.520652e-03, -3.610329e-02
1.289178e+08,-3.410961e-03, -3.218287e-02
1.290381e+08,-3.833384e-03, -2.883872e-02
1.291583e+08,-1.114148e-03, -2.692335e-02
1.292786e+08,-1.219747e-03, -2.742182e-02
1.293988e+08,-2.670017e-03, -2.694846e-02
1.295190e+08,1.243488e-04, -2.551279e-02
1.296393e+08,-2.206194e-03, -2.628959e-02
1.297595e+08,-1.877716e-03, -2.619360e-02
1.298798e+08,-4.792405e-04, -2.416428e-02
1.300000e+08,-2.342413e-03, -2.516396e-02
